"39115;PTNQX;***;PLANE;NEIVA INDUSTRIA AERONAUTICA;EMB-711A;P28R;PISTON;SINGLE ENGINE;1202;1202;4;1979;BRAZIL;BRAZIL;PLANE;PARTICULAR;BRIGADEIRO ARARIPE MACEDO;CORRENTINA;TAKE-OFF;PRIVATE;SUBSTANTIAL;0"
"39155;PTLVI;***;PLANE;BEECH AIRCRAFT;C90;BE9L;turboprop;BIMOTOR;4377;4377;8;1979;BRAZIL;BRAZIL;PLANE;PARTICULAR;OUTSIDE AERODROME;OUTSIDE AERODROME;TAKE-OFF;PRIVATE;NONE;0"
"39156;PPPTO;***;PLANE;AEROSPATIALE AND ALENIA;ATR-72-212A;AT72;turboprop;BIMOTOR;22500;22500;73;2008;BRAZIL;BRAZIL;PLANE;REGULAR;AFONSO PENA;ADALBERTO MENDES DA SILVA;RUSH IN THE AIR;REGULAR;LIGHT;0"
"39158;PRLGJ;REGULAR;PLANE;BOEING COMPANY;757-225;B752;JET;BIMOTOR;108862;108862;5;1984;BRAZIL;BRAZIL;PLANE;REGULAR;OUTSIDE AERODROME;OUTSIDE AERODROME;ASCENT;REGULAR;NONE;0"
"39176;PRMAA;REGULAR;PLANE;AIRBUS INDUSTRIE;A320-232;A320;JET;BIMOTOR;77000;77000;184;2001;BRAZIL;BRAZIL;PLANE;REGULAR;OUTSIDE AERODROME;OUTSIDE AERODROME;ASCENT;REGULAR;NONE;0"
"39178;PTMZU;REGULAR;PLANE;AIRBUS INDUSTRIE;A320-232;A320;JET;BIMOTOR;77000;77000;184;2001;BRAZIL;BRAZIL;PLANE;REGULAR;OUTSIDE AERODROME;OUTSIDE AERODROME;ASCENT;REGULAR;NONE;0"
"39235;PTWKN;***;PLANE;CESSNA AIRCRAFT;A188B;C188;PISTON;SINGLE ENGINE;1497;1497;1;1976;BRAZIL;BRAZIL;PLANE;AGRICULTURAL;OUTSIDE AERODROME;OUTSIDE AERODROME;TAKE-OFF;AGRICULTURAL;DESTROYED;1"
"39275;PTYRE;***;HELICOPTER;EUROCOPTER FRANCE;AS 350 BA;***;turboshaft;SINGLE ENGINE;2100;2100;6;1994;BRAZIL;BRAZIL;HELICOPTER;PARTICULAR;CAMPO DE MARTE;CAMPO DE MARTE;CRUISE;PRIVATE;DESTROYED;1"
"39295;PUFLK;EXPERIMENTAL;ultralight;***;RV-9;ULAC;PISTON;SINGLE ENGINE;735;735;2;2004;BRAZIL;BRAZIL;ultralight;EXPERIMENTAL;OUTSIDE AERODROME;OUTSIDE AERODROME;FINAL APPROACH;EXPERIMENTAL;SUBSTANTIAL;2"
"39315;PTHLE;***;HELICOPTER;HELIBRAS;HB-350B;AS50;turboshaft;SINGLE ENGINE;1950;1950;6;1981;BRAZIL;BRAZIL;HELICOPTER;AIR TAXI;OUTSIDE AERODROME;LÁBREA;CRUISE;AIR TAXI;***;2"
"39316;PPGMH;***;PLANE;AERO BOERO;AB-115;AB11;PISTON;SINGLE ENGINE;770;770;2;1992;BRAZIL;BRAZIL;PLANE;INSTRUCTION;BLUMENAU;RANCHO SUMIDOR;LANDING;INSTRUCTION;SUBSTANTIAL;0"
"39317;PPGOB;***;PLANE;AERO BOERO;AB-115;AB11;PISTON;SINGLE ENGINE;770;770;2;1993;BRAZIL;BRAZIL;PLANE;INSTRUCTION;OUTSIDE AERODROME;OUTSIDE AERODROME;LANDING;INSTRUCTION;SUBSTANTIAL;0"
"39318;PTTAF;***;PLANE;EMBRAER;EMB-110;E110;turboprop;BIMOTOR;5600;5600;1;1976;BRAZIL;BRAZIL;PLANE;AIR TAXI;VAL DE CANS / JÚLIO CEZAR RIBEIRO;WILMA REBELO;DESCENT;AIR TAXI;SUBSTANTIAL;2"
"39319;PRUGO;***;PLANE;EMBRAER;EMB-810C;PA34;PISTON;BIMOTOR;2073;2073;6;1981;BRAZIL;BRAZIL;PLANE;PARTICULAR;SOROCABA;FAZENDA SANTA RITA;ASCENT;PRIVATE;DESTROYED;2"
"39320;PTFNI;***;PLANE;CESSNA AIRCRAFT;A188B;C188;PISTON;SINGLE ENGINE;1905;1905;1;1977;BRAZIL;BRAZIL;PLANE;AGRICULTURAL;OUTSIDE AERODROME;OUTSIDE AERODROME;TAKE-OFF;AGRICULTURAL;SUBSTANTIAL;0"
"39321;PTOHL;***;PLANE;CESSNA AIRCRAFT;210N;C210;PISTON;SINGLE ENGINE;1724;1724;6;1981;BRAZIL;BRAZIL;PLANE;PARTICULAR;OUTSIDE AERODROME;OUTSIDE AERODROME;LANDING;PRIVATE;DESTROYED;1"
"39322;PTYSG;***;HELICOPTER;ROBINSON HELICOPTER;R44;R44;PISTON;SINGLE ENGINE;1088;1088;4;1997;BRAZIL;BRAZIL;HELICOPTER;SPECIALIZED;MERCEDES-BENZ DO BRASIL LTDA;OUTSIDE AERODROME;TAKE-OFF;SPECIALIZED;SUBSTANTIAL;0"
"39323;PUMEL;EXPERIMENTAL;ultralight;***;MISTRAL 582C;ULAC;PISTON;SINGLE ENGINE;430;430;2;2000;BRAZIL;BRAZIL;ultralight;EXPERIMENTAL;OUTSIDE AERODROME;OUTSIDE AERODROME;ASCENT;EXPERIMENTAL;SUBSTANTIAL;1"
"39365;PRMAA;REGULAR;PLANE;AIRBUS INDUSTRIE;A320-232;A320;JET;BIMOTOR;77000;77000;184;2001;BRAZIL;BRAZIL;PLANE;REGULAR;OUTSIDE AERODROME;OUTSIDE AERODROME;TAKE-OFF;REGULAR;***;0"
"39367;PPGLS;INSTRUCTION;PLANE;AERO BOERO;AB-115;AB11;PISTON;SINGLE ENGINE;770;770;3;1992;BRAZIL;BRAZIL;PLANE;INSTRUCTION;OUTSIDE AERODROME;OUTSIDE AERODROME;RACE AFTER LANDING;INSTRUCTION;LIGHT;0"
"39385;PTNIJ;***;PLANE;NEIVA INDUSTRIA AERONAUTICA;EMB-711C;P28R;PISTON;SINGLE ENGINE;1202;1202;4;1976;BRAZIL;BRAZIL;PLANE;PARTICULAR;NELSON RODRIGUES GUIMARÃES;PRESIDENTE JUSCELINO KUBITSCHEK;LANDING;PRIVATE;SUBSTANTIAL;0"
"39386;PTMFU;REGULAR;PLANE;AEROSPATIALE AND ALENIA;ATR-42-300;AT43;turboprop;BIMOTOR;16700;16700;50;1987;BRAZIL;BRAZIL;PLANE;REGULAR;OUTSIDE AERODROME;OUTSIDE AERODROME;CRUISE;REGULAR;NONE;0"
"39405;PTUML;***;PLANE;NEIVA INDUSTRIA AERONAUTICA;EMB-202;IPAN;PISTON;SINGLE ENGINE;1800;1800;1;2000;BRAZIL;BRAZIL;PLANE;PARTICULAR;OUTSIDE AERODROME;OUTSIDE AERODROME;SPECIALIZED;AGRICULTURAL;SUBSTANTIAL;0"
"39487;PRSAM;***;PLANE;BEECH AIRCRAFT;F33A;BE33;PISTON;SINGLE ENGINE;1588;1588;4;1994;BRAZIL;BRAZIL;PLANE;PARTICULAR;SANTA GENOVEVA/GOIÂNIA;BRIGADEIRO LYSIAS RODRIGUES;LANDING;PRIVATE;SUBSTANTIAL;0"
