"39115;095/2011;2011-07-21;2011-08-01;2015-12-21;Review the recent experience requirements for revalidation enable single-engine land class aircraft - aiming to ensure that they are suitable for pilots with low number of flight hours for two or more years in a row.;NOT FULFILLED;ANAC;NATIONAL CIVIL AVIATION AGENCY";;;;;;;;;
"39115;096/2011;2011-07-21;2011-08-01;2011-09-16;Disclose this final report to private operators - aimed at raising the situational awareness for the calculation and management of fuel.;ACCOMPLISHED;ANAC;NATIONAL CIVIL AVIATION AGENCY";;;;;;;;;
"39156;063/2011;2011-06-30;2011-08-01;2011-09-12;Disclose this Report to the ATR-72-212A aircraft operators - warning of the adoption of the procedures provided for in Engine Maintenance Manual for the installation of nozzles of fuel.;ACCOMPLISHED;ANAC;NATIONAL CIVIL AVIATION AGENCY";;;;;;;;;
"39156;064/2011;2011-06-30;2011-08-01;2014-04-16;Keep up with the primary authority certification of the engine manufacturer's study of the project to remove the seal ring - to increase the possibility of detecting an improper installation nozzles before the engine returns to the service.;ALTERNATIVE WAY FULFILLED;ANAC;NATIONAL CIVIL AVIATION AGENCY";;;;;;;;;
"39235;205/2011;2011-08-29;2011-09-29;2012-11-06;Conduct a flight safety inspection in Aero Agricultural Rio Verde in order to verify its operational conditions.;ACCOMPLISHED;ANAC;NATIONAL CIVIL AVIATION AGENCY";;;;;;;;;
"39235;206/D/11;2011-08-29;2011-08-29;NULL;Disclosing this Final Report - emphasizing the possibility of improper installation of the nozzles and their consequences.;ACCOMPLISHED;SERIPA-6;SIXTH REGIONAL SERVICE FOR RESEARCH AND AIRCRAFT ACCIDENT PREVENTION";;;;;;;;;
"39235;207/2011;2011-08-29;2011-08-29;NULL;Reinforce to its mechanical needs of the faithful fulfillment of the maintenance procedures in accordance with the technical orders.;ACCOMPLISHED;SERIPA-6;SIXTH REGIONAL SERVICE FOR RESEARCH AND AIRCRAFT ACCIDENT PREVENTION";;;;;;;;;
"39275;A-009/CENIPA/2014  01;2016-04-22;2016-05-17;2016-07-15;Assess the need to create a specific regulation establishing criteria for obtaining an Air Operator Certificate (AOC) for companies that commercially exploit aeroreportagem services - aerocinematografia - aerial photography and other specified in Part 91 - similar to what already happens with the Air Service Specialized Aeroagrícola.;NOT FULFILLED;ANAC;NATIONAL CIVIL AVIATION AGENCY";;;;;;;;;
"39275;A-009/CENIPA/2014  02;2016-04-22;2016-05-17;2017-05-24;Act together to workshops that carry out the assembly of the fork in AS 350 aircraft - in order to make sure that your mechanics are recycled with respect to this type of service as well - are aware of the importance;ACCOMPLISHED;ANAC;NATIONAL CIVIL AVIATION AGENCY";;;;;;;;;
"39275;A-009/CENIPA/2014  03;2016-04-22;2016-05-17;2017-03-16;Act together to workshops that carry out the assembly of the fork in AS 350 aircraft - in order to make sure that its inspectors are aware of the importance of follow-up services - especially in the most critical phases and those that directly affect the airworthiness of aircraft.;ACCOMPLISHED;ANAC;NATIONAL CIVIL AVIATION AGENCY";;;;;;;;;
"39316;034/2011;2011-05-18;2011-05-27;2012-12-18;Conduct an audit at the Aero Club of Blumenau - in order to verify the conformity of air activity developed education with the applicable requirements.;ACCOMPLISHED;ANAC;NATIONAL CIVIL AVIATION AGENCY";;;;;;;;;
